index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month
33,F,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Widow,House / apartment,-19487,-3255,1,0,1,0,Laborers,1,-16
34,F,N,Y,0,630000,Working,Higher education,Separated,House / apartment,-22001,-1539,1,1,1,0,Accountants,1,-58
35,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-20608,365243,1,0,0,0,,2,-11
36,F,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-18234,-2965,1,1,1,0,Core staff,2,-14
37,F,N,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-13048,-440,1,0,0,1,Private service staff,3,-30
38,M,Y,N,0,112500,Working,Secondary / secondary special,Civil marriage,House / apartment,-10004,-1962,1,0,1,0,,2,-7
39,M,Y,Y,2,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,-13059,-4813,1,0,0,0,Laborers,4,-60
40,F,N,Y,0,157500,State servant,Higher education,Married,House / apartment,-19638,-412,1,0,1,0,,2,-34
41,F,N,N,0,450000,Commercial associate,Higher education,Single / not married,House / apartment,-10139,-136,1,0,0,0,Core staff,1,-8
42,F,Y,Y,0,391500,Working,Secondary / secondary special,Married,House / apartment,-16995,-7264,1,0,0,0,Core staff,2,-47
43,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,-14816,-1672,1,0,0,0,Core staff,2,-6
44,M,Y,N,2,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,-16479,-4082,1,0,0,0,Laborers,4,-55
45,M,Y,Y,0,418500,Working,Higher education,Married,House / apartment,-19038,-73,1,0,1,0,,2,-36
46,F,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,1,0,0,1,Core staff,2,-43
47,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,-21041,365243,1,0,0,0,,1,-42
48,F,N,N,2,90000,Working,Secondary / secondary special,Married,House / apartment,-11863,-96,1,1,0,0,,4,-46
49,F,N,Y,0,328500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20940,365243,1,0,0,0,,2,-25
50,F,N,Y,0,63000,Working,Secondary / secondary special,Married,House / apartment,-19896,-1574,1,1,0,0,High skill tech staff,2,-4
51,F,Y,Y,0,144000,Commercial associate,Secondary / secondary special,Married,House / apartment,-12116,-2714,1,1,1,0,Drivers,2,-1
52,F,N,Y,0,247500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23280,365243,1,0,0,0,,1,-15
53,F,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-23007,-11589,1,1,1,0,Cleaning staff,1,-3
54,F,N,Y,1,247500,Commercial associate,Higher education,Married,House / apartment,-13556,-4296,1,0,1,0,Managers,3,-52
55,F,N,Y,0,193500,Commercial associate,Secondary / secondary special,Married,House / apartment,-17909,-121,1,0,0,0,Laborers,2,-9
56,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-22491,365243,1,0,0,0,,2,-21
57,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-14948,-8100,1,0,0,0,Laborers,2,-56
58,F,Y,Y,0,178650,Pensioner,Higher education,Widow,House / apartment,-17291,365243,1,0,1,0,,1,-50
59,F,Y,N,0,81000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14157,-2349,1,0,0,0,Laborers,2,-14
60,M,N,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,-16424,-1458,1,0,0,0,Drivers,3,-45
61,F,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18656,-2656,1,0,0,0,Laborers,2,-40
62,M,Y,Y,0,180000,Working,Higher education,Married,With parents,-11089,-1467,1,0,0,0,Laborers,2,-33
63,F,N,N,0,121500,Commercial associate,Secondary / secondary special,Married,House / apartment,-18828,-6195,1,0,0,0,,2,-54
64,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,-17398,-458,1,0,0,0,Drivers,3,-27
65,M,Y,N,2,225000,Working,Secondary / secondary special,Married,House / apartment,-14136,-2628,1,1,0,0,Managers,4,-3
66,F,N,Y,0,180000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23594,365243,1,0,0,0,,1,-25
67,M,N,N,1,225000,Commercial associate,Higher education,Married,Municipal apartment,-18976,-688,1,0,0,0,Cooking staff,3,-42
68,F,N,Y,0,94500,Pensioner,Secondary / secondary special,Married,House / apartment,-24285,365243,1,0,0,0,,2,-18
69,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,-23844,-2147,1,0,1,0,Accountants,2,-19
70,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,-17366,-2426,1,0,0,0,Managers,2,-41
71,F,N,Y,0,49500,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-23825,365243,1,0,0,0,,1,-7
72,M,Y,N,2,450000,Working,Secondary / secondary special,Married,House / apartment,-14970,-7183,1,0,0,1,Drivers,4,-2
73,F,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,-11591,-2501,1,0,0,0,,2,-1
74,M,N,N,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,-22800,-102,1,0,0,0,Drivers,2,-49
75,F,N,Y,0,247500,Commercial associate,Higher education,Single / not married,House / apartment,-21537,-13735,1,0,0,0,Core staff,1,-40
76,F,Y,Y,0,270000,Pensioner,Secondary / secondary special,Married,House / apartment,-23768,365243,1,0,0,0,,2,-19
77,M,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,Rented apartment,-16491,365243,1,0,0,0,,2,-24
78,M,N,Y,0,180000,Working,Secondary / secondary special,Separated,House / apartment,-17965,-218,1,0,0,0,Laborers,1,-17
79,M,Y,Y,3,202500,Working,Secondary / secondary special,Married,House / apartment,-13300,-3668,1,0,1,0,,5,-54
80,F,Y,Y,0,405000,Commercial associate,Incomplete higher,Married,House / apartment,-18517,-3944,1,0,1,0,,2,0
81,F,N,Y,1,67500,Working,Secondary / secondary special,Married,House / apartment,-11032,-314,1,1,0,0,Accountants,3,-4
82,F,Y,Y,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-9980,-128,1,0,1,0,Sales staff,3,-34
83,F,Y,N,0,562500,Working,Higher education,Married,House / apartment,-14654,-2836,1,1,0,0,Managers,2,-22
84,F,N,N,0,202500,Pensioner,Higher education,Single / not married,House / apartment,-23290,365243,1,0,0,0,,1,-3
85,M,N,Y,0,225000,Working,Lower secondary,Married,Municipal apartment,-10565,-811,1,1,1,0,,2,-26
86,F,Y,Y,1,112500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11660,-807,1,0,0,0,Core staff,3,-8
87,M,Y,N,1,202500,State servant,Higher education,Married,House / apartment,-13387,-2467,1,0,0,0,,3,-37
88,M,N,Y,0,144000,Working,Secondary / secondary special,Civil marriage,House / apartment,-16979,-1830,1,0,0,0,Security staff,2,-18
89,F,N,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13079,-2499,1,1,0,0,Managers,2,-6
90,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-21529,365243,1,0,1,0,,2,-11
91,F,N,Y,2,202500,Working,Higher education,Married,House / apartment,-13797,-3259,1,0,1,0,High skill tech staff,4,-43
92,F,N,Y,1,103500,Working,Secondary / secondary special,Married,House / apartment,-15922,-414,1,0,0,0,Sales staff,3,-13
93,F,Y,Y,0,742500,Pensioner,Higher education,Separated,House / apartment,-21792,365243,1,0,0,0,,1,-26
94,F,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-14534,-1054,1,0,1,0,High skill tech staff,1,-44
95,M,Y,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-10952,-3577,1,1,0,0,Laborers,2,-56
96,M,Y,Y,0,292500,Commercial associate,Secondary / secondary special,Married,With parents,-9980,-351,1,0,0,0,Drivers,2,-42
97,F,N,N,0,364500,Working,Secondary / secondary special,Civil marriage,House / apartment,-17204,-1028,1,0,0,0,Sales staff,2,-41
98,F,N,Y,2,121500,Working,Secondary / secondary special,Married,House / apartment,-14495,-1436,1,0,0,0,Sales staff,4,-39
99,M,Y,Y,0,184500,State servant,Higher education,Married,House / apartment,-13916,-169,1,0,0,0,Managers,2,-60
100,F,N,N,0,211500,Commercial associate,Higher education,Married,With parents,-14636,-4690,1,1,1,0,Laborers,2,-55
101,F,N,Y,2,405000,State servant,Secondary / secondary special,Married,House / apartment,-18459,-4145,1,0,1,0,Medicine staff,4,-32
102,F,N,Y,0,135000,Commercial associate,Higher education,Single / not married,House / apartment,-19392,-121,1,0,1,0,,1,-17
103,F,N,Y,0,135000,Pensioner,Incomplete higher,Separated,House / apartment,-20388,365243,1,0,0,0,,1,-2
104,F,N,N,1,45000,Working,Secondary / secondary special,Married,House / apartment,-12311,-3969,1,0,0,0,,3,-26
105,F,N,Y,1,135000,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10692,-946,1,1,1,1,Cooking staff,2,-6
106,F,N,N,0,76500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14393,-3239,1,0,0,0,,2,-17
107,F,Y,Y,1,202500,Commercial associate,Higher education,Married,House / apartment,-15598,-1659,1,0,0,0,Accountants,3,-18
108,F,N,Y,2,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15140,-3174,1,1,0,1,Sales staff,4,-39
109,F,N,Y,0,202500,State servant,Higher education,Widow,House / apartment,-15784,-4919,1,0,0,0,,1,-52
110,F,N,N,1,180000,State servant,Secondary / secondary special,Single / not married,House / apartment,-15517,-2023,1,0,0,0,Medicine staff,2,-35
111,M,N,Y,1,202500,Working,Secondary / secondary special,Single / not married,House / apartment,-12152,-1230,1,0,0,0,Laborers,2,-25
112,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14907,-2540,1,0,0,0,Sales staff,2,-8
113,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-22788,365243,1,0,0,0,,2,-14
114,M,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,-18394,-5155,1,0,0,0,Laborers,3,0
115,F,Y,N,2,81000,Working,Higher education,Married,House / apartment,-12358,-3017,1,1,0,0,Sales staff,4,-10
116,F,Y,Y,0,157500,Working,Secondary / secondary special,Civil marriage,House / apartment,-11736,-219,1,0,0,0,Accountants,2,-7
117,F,N,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,-23057,-4540,1,0,0,0,Medicine staff,2,-49
118,F,N,N,1,135000,Working,Secondary / secondary special,Widow,House / apartment,-13719,-17,1,0,0,0,Sales staff,2,-11
119,F,N,Y,1,202500,Commercial associate,Incomplete higher,Civil marriage,House / apartment,-13539,-1653,1,1,1,0,Core staff,3,-3
120,F,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-22333,365243,1,0,0,0,,2,-1
121,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,-17795,-2450,1,0,0,1,Managers,2,-58
122,M,Y,N,0,247500,Working,Incomplete higher,Single / not married,House / apartment,-8560,-316,1,1,0,0,Managers,1,-3
123,M,Y,N,0,252000,Working,Higher education,Married,House / apartment,-15227,-5300,1,1,1,0,Laborers,2,-50
124,F,N,N,1,202500,Working,Secondary / secondary special,Married,House / apartment,-12047,-3443,1,0,0,0,Managers,3,-28
125,F,Y,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-22223,365243,1,0,1,0,,2,-14
126,M,Y,N,1,180000,Working,Higher education,Married,House / apartment,-8877,-1737,1,1,1,0,Drivers,3,-19
127,F,N,Y,1,108000,State servant,Secondary / secondary special,Married,House / apartment,-14028,-3277,1,0,0,0,Core staff,3,-17
128,F,N,N,0,90000,Working,Higher education,Separated,House / apartment,-21887,-1526,1,0,0,0,Core staff,1,-14
129,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,-15541,-1477,1,0,0,0,Medicine staff,2,-59
130,F,N,Y,0,180000,Pensioner,Higher education,Widow,House / apartment,-22419,365243,1,0,0,0,,1,-47
131,F,N,N,1,135000,Working,Secondary / secondary special,Civil marriage,House / apartment,-10151,-1138,1,0,0,0,Laborers,3,-21
132,F,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19033,-3535,1,0,0,0,Sales staff,2,-32
133,M,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-18820,-3185,1,0,1,0,Low-skill Laborers,2,-7
134,M,Y,N,0,337500,Working,Secondary / secondary special,Single / not married,With parents,-11344,-3309,1,0,0,0,Core staff,1,-51
135,F,N,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,-16616,-2722,1,1,1,0,Realty agents,3,-10
136,M,N,N,1,225000,Working,Secondary / secondary special,Married,House / apartment,-19129,-806,1,0,0,1,,3,-1
137,M,Y,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-22909,-2581,1,0,1,0,Drivers,2,-12
138,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,-17791,-5072,1,0,0,0,,2,-15
139,M,Y,N,4,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15328,-2578,1,0,0,0,Security staff,6,-30
140,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,With parents,-13689,-1172,1,0,0,0,Sales staff,3,-46
141,F,Y,N,0,225000,Commercial associate,Higher education,Married,With parents,-11828,-165,1,0,0,0,Accountants,2,-10
142,F,Y,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4,-28
143,F,N,N,0,157500,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-11243,-2652,1,0,0,0,Sales staff,2,-13
144,M,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,-18625,-3153,1,0,1,0,Laborers,2,-3
145,F,N,N,0,67500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-9323,-1346,1,0,0,0,,2,-42
146,M,Y,Y,1,315000,Working,Higher education,Married,House / apartment,-10580,-2566,1,0,0,0,Core staff,3,-17
147,F,N,N,1,180000,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-10928,-1558,1,0,0,0,Sales staff,3,-18
148,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-19008,-3607,1,0,0,0,Managers,2,-2
149,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228,-5330,1,0,1,0,,2,-37
150,F,Y,Y,2,315000,State servant,Secondary / secondary special,Married,House / apartment,-12348,-1220,1,0,0,0,Managers,4,-8
151,F,N,Y,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,-23520,365243,1,0,0,0,,2,-54
152,M,N,Y,2,450000,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4,-38
153,M,N,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,-10089,-2757,1,1,0,0,Laborers,3,-33
154,M,Y,Y,1,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-15167,-2162,1,0,0,0,Drivers,3,-50
155,F,N,Y,1,67500,Working,Secondary / secondary special,Separated,House / apartment,-11126,-2087,1,1,1,0,Accountants,2,-9
156,F,N,N,0,162000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-19694,365243,1,0,0,0,,2,-41
157,M,Y,Y,0,315000,Commercial associate,Incomplete higher,Married,House / apartment,-21572,-2170,1,0,0,0,Secretaries,2,-8
158,M,Y,Y,0,225000,State servant,Secondary / secondary special,Married,House / apartment,-13718,-3694,1,1,1,0,High skill tech staff,2,-18
159,F,N,N,0,157500,State servant,Higher education,Married,House / apartment,-11588,-801,1,1,1,0,Core staff,2,-23
160,F,N,Y,0,180000,Working,Higher education,Married,House / apartment,-16013,-1517,1,0,1,0,Cooking staff,2,-27
161,F,N,Y,0,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-14511,-193,1,0,0,0,,2,-20
162,F,Y,Y,0,157500,Working,Secondary / secondary special,Widow,House / apartment,-15584,-1611,1,0,0,0,Sales staff,1,-2
163,M,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,-13602,-1382,1,1,1,0,Drivers,1,-21
164,F,Y,Y,0,360000,Commercial associate,Higher education,Married,House / apartment,-10874,-507,1,0,0,1,Core staff,2,-11
165,F,N,Y,2,135000,Working,Incomplete higher,Married,House / apartment,-10598,-2175,1,0,0,1,Sales staff,4,-27
166,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,-12322,-3717,1,0,0,0,Core staff,2,-2
167,F,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-19010,-6761,1,1,1,0,Cleaning staff,2,-5
168,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,-17087,-7310,1,1,1,0,Medicine staff,2,-4
169,F,Y,Y,0,126000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10302,-734,1,0,0,0,Core staff,2,-48
170,F,N,N,0,234000,State servant,Higher education,Civil marriage,House / apartment,-21967,-5215,1,0,0,1,Core staff,2,-13
171,F,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,-21215,-808,1,0,0,0,Medicine staff,2,-28
172,F,N,Y,0,225000,Working,Secondary / secondary special,Single / not married,House / apartment,-20302,-10259,1,0,0,0,Medicine staff,1,-24
173,F,Y,Y,1,247500,Working,Incomplete higher,Married,House / apartment,-14046,-353,1,0,0,0,Sales staff,3,-19
174,F,N,N,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,-21871,365243,1,0,1,0,,2,-3
175,F,N,Y,0,157500,State servant,Higher education,Married,House / apartment,-9313,-615,1,0,0,0,,2,-53
176,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-19087,-6128,1,0,0,0,Laborers,2,-2
177,F,N,Y,0,135000,Working,Secondary / secondary special,Widow,House / apartment,-14394,-919,1,0,1,0,Managers,1,-8
178,F,N,N,1,112500,Working,Secondary / secondary special,Married,With parents,-11499,-4006,1,0,1,1,Core staff,3,-10
179,F,N,Y,0,81000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9866,-2583,1,0,0,0,Medicine staff,1,-42
180,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,1,0,0,0,Laborers,3,-4
181,F,N,Y,0,81000,Working,Secondary / secondary special,Widow,House / apartment,-22064,-168,1,0,0,0,Cleaning staff,1,-43
182,M,Y,N,0,126000,Working,Secondary / secondary special,Married,House / apartment,-20116,-248,1,1,0,0,Laborers,2,-45
183,F,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-19002,365243,1,0,0,0,,2,-11
184,F,N,Y,1,225000,Commercial associate,Higher education,Married,House / apartment,-15720,-2569,1,0,1,0,Managers,3,-11
185,F,N,N,2,73350,Working,Secondary / secondary special,Married,House / apartment,-14321,-7068,1,0,0,0,Medicine staff,4,-20
186,M,N,N,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,-9380,-1713,1,1,1,0,,1,-16
187,M,Y,N,2,292500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14670,-6957,1,0,1,0,,4,-15
188,F,N,N,0,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10731,-885,1,0,0,0,Sales staff,1,-11
189,F,Y,Y,2,225000,Commercial associate,Higher education,Married,House / apartment,-14100,-3623,1,0,0,0,Private service staff,4,-20
190,F,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,-15649,-8412,1,1,1,0,Medicine staff,2,-18
191,F,Y,Y,2,292500,Commercial associate,Higher education,Married,House / apartment,-13958,-3021,1,0,0,0,Sales staff,4,-40
192,F,N,N,1,45000,State servant,Secondary / secondary special,Married,House / apartment,-11304,-3998,1,1,1,0,Medicine staff,3,-55
193,M,Y,Y,0,78750,Working,Secondary / secondary special,Single / not married,House / apartment,-8251,-181,1,1,0,0,Sales staff,1,-13
194,F,N,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,-20470,-9269,1,0,0,0,Core staff,1,-6
195,F,N,N,1,144000,Working,Secondary / secondary special,Married,House / apartment,-14802,-1846,1,0,0,0,Drivers,3,-16
196,F,N,N,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,-23480,365243,1,0,0,0,,2,-4
197,M,Y,Y,0,382500,Working,Higher education,Married,House / apartment,-11864,-1748,1,0,1,0,IT staff,2,-49
198,F,Y,N,1,225000,Commercial associate,Higher education,Civil marriage,With parents,-9932,-668,1,0,1,1,Accountants,3,-6
199,F,N,Y,0,247500,Commercial associate,Higher education,Married,House / apartment,-11914,-2980,1,0,0,0,Sales staff,2,-40
200,M,Y,Y,2,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18376,-4270,1,1,1,1,,4,-27
201,F,N,Y,0,90000,Working,Secondary / secondary special,Widow,House / apartment,-17710,-1772,1,0,0,0,Cooking staff,1,-24
202,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-13483,-1816,1,1,1,0,Laborers,2,-39
203,F,N,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,-20726,365243,1,0,1,0,,2,-6
204,F,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-12690,-231,1,1,0,0,Sales staff,2,-23
205,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-21885,365243,1,0,0,0,,2,-17
206,F,N,Y,0,288000,Commercial associate,Secondary / secondary special,Widow,House / apartment,-16181,-117,1,0,1,1,Private service staff,1,-17
207,F,N,N,0,202500,State servant,Higher education,Married,With parents,-14562,-1287,1,0,1,0,Core staff,2,-16
208,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1,-27
209,F,N,Y,0,270000,Commercial associate,Higher education,Single / not married,House / apartment,-10707,-765,1,0,0,0,HR staff,1,-5
210,M,Y,Y,2,337500,State servant,Secondary / secondary special,Married,Office apartment,-12977,-3970,1,0,0,0,Laborers,4,-30
211,M,Y,N,2,225000,Working,Secondary / secondary special,Married,House / apartment,-14776,-2212,1,0,0,0,Drivers,4,-9
212,F,N,Y,1,135000,Working,Higher education,Married,House / apartment,-13833,-617,1,0,0,0,Accountants,3,-19
213,F,Y,N,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-10445,-249,1,0,0,0,Laborers,2,-10
214,F,N,Y,0,270000,State servant,Secondary / secondary special,Married,House / apartment,-20103,-1444,1,1,1,0,Waiters/barmen staff,2,-16
215,F,N,Y,0,337500,Pensioner,Higher education,Single / not married,House / apartment,-24519,365243,1,0,1,0,,1,-18
216,F,N,N,1,180000,Commercial associate,Incomplete higher,Married,House / apartment,-14687,-7401,1,1,1,0,High skill tech staff,3,-6
217,F,N,Y,0,179100,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-20891,365243,1,0,0,0,,2,-59
218,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,-22061,365243,1,0,0,0,,1,-12
219,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,-21581,365243,1,0,0,0,,1,-49
220,F,N,Y,1,135000,Working,Higher education,Married,House / apartment,-13833,-617,1,0,0,0,Accountants,3,-9
221,M,Y,Y,0,315000,Working,Higher education,Married,House / apartment,-18335,-2796,1,0,0,0,Drivers,2,-31
222,F,N,Y,0,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-16098,-1868,1,1,1,0,Managers,1,-43
